id,body,date,address
735,"1/2 09Aug 1630:Remittance of PHP300.00 & commission of PHP11.50 was received from 639294076297.LIBRE ang pag-claim ng iyong customer.Ref:da4509d0e1a5",1502267441163,SmartPadala
736,"2/2 Bal:PHP33,020.75",1502267426786,SmartPadala
737,"09Aug 1629: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:d1ef76d96695",1502267376993,SmartPadala
738,"09Aug 1628:Remittance of PHP2,000.00 & commission of PHP23.00 was added to your account.Avail Bal:PHP32,709.25.Ref:27b386c2aee6",1502267315416,SmartPadala
739,"2/2 Bal:PHP30,686.25",1502265922777,SmartPadala
740,"1/2 09Aug 1605:Remittance of PHP560.00 & commission of PHP11.50 was received from 639471966513.LIBRE ang pag-claim ng iyong customer.Ref:babc73fbc66f",1502265912174,SmartPadala
741,"1/2 09Aug 1600:Remittance of PHP400.00 & commission of PHP11.50 was received from 639292008145.LIBRE ang pag-claim ng iyong customer.Ref:0bd7a32fb89d",1502265645152,SmartPadala
742,"2/2 Bal:PHP30,114.75",1502265639807,SmartPadala
743,"2/2 Bal:PHP29,703.25",1502263593574,SmartPadala
744,"1/2 09Aug 1526:Remittance of PHP500.00 & commission of PHP11.50 was received from 639995883388.LIBRE ang pag-claim ng iyong customer.Ref:a5aeef936ace",1502263584145,SmartPadala
745,"2/2 Bal:PHP29,191.75",1502257824230,SmartPadala
746,"1/2 09Aug 1350:Remittance of PHP500.00 & commission of PHP11.50 was received from 639392668614.LIBRE ang pag-claim ng iyong customer.Ref:107390b3d251",1502257819028,SmartPadala
747,"2/2 Bal:PHP28,680.25",1502257549252,SmartPadala
748,"1/2 09Aug 1345:Remittance of PHP2,000.00 & commission of PHP23.00 was received from 639984362223.LIBRE ang pag-claim ng iyong customer.Ref:574ec3844edc",1502257539075,SmartPadala
749,"09Aug 1337: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:7fe8b20bd3b7",1502257028979,SmartPadala
750,"09Aug 1325:Remittance of PHP490.00 & fee of PHP18.50 was deducted from your account.Avail bal:PHP37,673.05.Ref:7fe8b20bd3b7",1502256363450,SmartPadala
751,"2/2 &send to 8890.",1502256352767,SmartPadala
752,"1/2 09Aug 1325:Sent PHP490.00 from ENCASHMENT to 557751******7108 at 639206202069.Ref:7fe8b20bd3b7.Sa next msg,i-type ang customer &receiver cellphone#",1502256343273,SmartPadala
753,"CONFIRM Ref:7fe8b20bd3b7
Customer Cellphone#:
Receiver Cellphone#:",1502256326927,SmartPadala
754,"1/2 09Aug 1323:Remittance of PHP500.00 & commission of PHP11.50 was received from 639287734358.LIBRE ang pag-claim ng iyong customer.Ref:064a58942beb",1502256240770,SmartPadala
755,"2/2 Bal:PHP26,657.25",1502256222939,SmartPadala
756,"09Aug 1322: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:d1ef76d96695",1502256143983,SmartPadala
757,"09Aug 1320:Remittance of PHP3,000.00 & fee of PHP55.50 was deducted from your account.Avail bal:PHP38,181.55.Ref:d1ef76d96695",1502256046637,SmartPadala
758,"CONFIRM Ref:d1ef76d96695
Customer Cellphone#:
Receiver Cellphone#:",1502256031078,SmartPadala
759,"1/2 09Aug 1320:Sent PHP3,000.00 from ENCASHMENT to 557751******2105 at 639498376326.Ref:d1ef76d96695.Sa next msg,i-type ang customer &receiver cellphone#",1502256028172,SmartPadala
